阿根廷	中高等收入国家	899	1062	691	718	792	786	1054	1020	937	801	640	552	688	735	643	509	546	884	393	425	442
亚美尼亚	中高等收入国家	109	119	140	200	151	0	206	192	135	226	116	136	121	137	125	121	113	125	107	101	112
澳大利亚	高收入国家	1858	1928	2187	2364	2418	2559	2555	2837	2718	2821	2494	2409	2383	2627	3061	1988	2291	2620	2503	2757	2637
奥地利	高收入国家	2028	1961	1815	1932	2120	2248	2270	2271	2385	2298	2263	2424	2154	2258	2162	2092	2205	2078	2073	2039	2066
阿塞拜疆	中高等收入国家	0	0	203	234	246	270	281	246	287	226	264	254	193	144	156	168	184	144	204	155	147
比利时	高收入国家	591	577	571	601	519	514	517	490	454	575	669	620	636	755	715	889	949	1054	1001	892	876
孟加拉国	中低等收入国家	49	70	59	43	58	48	50	22	29	60	55	66	37	67	60	44	41	77	61	69	68
保加利亚	中高等收入国家	282	231	283	289	278	263	261	243	211	249	242	243	262	245	282	218	280	230	202	180	186
波斯尼亚和黑塞哥维那	中高等收入国家	23	31	52	0	32	50	66	55	0	59	0	56	43	2	7	41	0	60	87	84	45
白俄罗斯	中高等收入国家	993	994	930	895	1082	1065	1166	1188	1405	1510	1753	1759	1725	1681	1489	652	543	455	434	453	298
巴西	中高等收入国家	2816	3179	3439	3481	3866	4044	4054	3956	4194	4280	4271	4228	4695	4798	4959	4659	4641	5200	5480	4980	5464
加拿大	高收入国家	4061	4187	3963	3959	3929	5231	5183	5522	4998	5061	5067	4550	4754	4709	4567	4198	4277	4078	4053	4349	4238
瑞士	高收入国家	1916	2083	1859	1827	1831	1742	1643	1740	1692	1594	1684	1622	1597	1480	1525	1480	1477	1462	1337	1283	1369
智利	高收入国家	204	241	246	391	329	382	361	291	403	531	343	328	339	336	340	452	443	386	425	406	438
中国	中高等收入国家	15626	25346	30038	39806	56769	65786	93485	122318	153060	194579	229096	293066	415829	535313	704936	801135	968252	1204981	1245709	1393815	1243568
哥伦比亚	中高等收入国家	68	75	65	54	82	76	99	142	128	126	128	133	183	213	251	260	321	545	595	415	422
哥斯达黎加	中高等收入国家	31	28	21	23	33	26	17	22	20	24	16	8	13	9	18	15	17	9	19	8	16
古巴	中高等收入国家	110	0	0	0	0	0	105	94	74	69	59	0	62	38	27	24	0	32	29	29	27
捷克共和国	高收入国家	596	555	568	526	625	623	586	641	716	712	789	868	783	867	984	910	880	792	794	678	765
德国	高收入国家	50029	51736	49989	47598	47818	48448	48367	48012	47853	49240	47859	47047	46986	46620	47353	48154	47384	48480	47785	46617	46632
丹麦	高收入国家	1656	1730	1757	1815	1772	1877	1658	1503	1660	1634	1518	1626	1574	1406	1341	1377	1462	1552	1490	1262	1351
多米尼加共和国	中高等收入国家	0	5	11	11	18	24	8	15	34	8	17	15	15	19	12	16	25	28	20	17	23
阿尔及利亚	中低等收入国家	36	32	51	43	30	58	59	58	84	0	0	76	94	119	118	94	89	106	149	152	113
厄瓜多尔	中高等收入国家	15	10	7	13	7	14	11	8	4	2	6	4	0	0	7	24	20	45	16	34	29
